SIGNAL_SCORE_THRESHOLD,SPRING_DROP_PCT,SPRING_BOUNCE_PCT,VOLUME_MULTIPLIER,STOP_LOSS_PCT,total_trades,win_rate,profit_factor,max_drawdown,final_capital,total_return_pct,max_loss_streak
55,0.003,0.003,1.3,0.003,280,0.2429,0.9653,0.4338,9184.67,-8.15,18
55,0.003,0.003,1.3,0.005,280,0.25,0.9925,0.4824,9803.9,-1.96,32
55,0.003,0.003,1.3,0.007,280,0.2786,1.0321,0.392,10769.67,7.7,25
55,0.003,0.003,1.5,0.003,280,0.2429,0.9653,0.4338,9184.67,-8.15,18
55,0.003,0.003,1.5,0.005,280,0.25,0.9925,0.4824,9803.9,-1.96,32
55,0.003,0.003,1.5,0.007,280,0.2786,1.0321,0.392,10769.67,7.7,25
55,0.003,0.003,1.8,0.003,280,0.2429,0.9653,0.4338,9184.67,-8.15,18
55,0.003,0.003,1.8,0.005,280,0.25,0.9925,0.4824,9803.9,-1.96,32
55,0.003,0.003,1.8,0.007,280,0.2786,1.0321,0.392,10769.67,7.7,25
55,0.003,0.003,2.0,0.003,280,0.2429,0.9653,0.4338,9184.67,-8.15,18
55,0.003,0.003,2.0,0.005,280,0.25,0.9925,0.4824,9803.9,-1.96,32
55,0.003,0.003,2.0,0.007,280,0.2786,1.0321,0.392,10769.67,7.7,25
55,0.004,0.0015,1.3,0.003,221,0.2398,0.9513,0.2484,9173.96,-8.26,15
55,0.004,0.0015,1.3,0.005,221,0.2489,0.9904,0.3195,9839.29,-1.61,19
55,0.004,0.0015,1.3,0.007,221,0.2851,1.1035,0.2858,11859.77,18.6,28
55,0.004,0.0015,1.5,0.003,221,0.2398,0.9513,0.2484,9173.96,-8.26,15
55,0.004,0.0015,1.5,0.005,221,0.2489,0.9904,0.3195,9839.29,-1.61,19
55,0.004,0.0015,1.5,0.007,221,0.2851,1.1035,0.2858,11859.77,18.6,28
55,0.004,0.0015,1.8,0.003,221,0.2398,0.9513,0.2484,9173.96,-8.26,15
55,0.004,0.0015,1.8,0.005,221,0.2489,0.9904,0.3195,9839.29,-1.61,19
55,0.004,0.0015,1.8,0.007,221,0.2851,1.1035,0.2858,11859.77,18.6,28
55,0.004,0.0015,2.0,0.003,221,0.2398,0.9513,0.2484,9173.96,-8.26,15
55,0.004,0.0015,2.0,0.005,221,0.2489,0.9904,0.3195,9839.29,-1.61,19
55,0.004,0.0015,2.0,0.007,221,0.2851,1.1035,0.2858,11859.77,18.6,28
55,0.004,0.002,1.3,0.003,193,0.2435,0.9714,0.224,9584.27,-4.16,14
55,0.004,0.002,1.3,0.005,193,0.2539,1.0248,0.2915,10374.99,3.75,17
55,0.004,0.002,1.3,0.007,193,0.2746,1.0761,0.2996,11220.9,12.21,26
55,0.004,0.002,1.5,0.003,193,0.2435,0.9714,0.224,9584.27,-4.16,14
55,0.004,0.002,1.5,0.005,193,0.2539,1.0248,0.2915,10374.99,3.75,17
55,0.004,0.002,1.5,0.007,193,0.2746,1.0761,0.2996,11220.9,12.21,26
55,0.004,0.002,1.8,0.003,193,0.2435,0.9714,0.224,9584.27,-4.16,14
55,0.004,0.002,1.8,0.005,193,0.2539,1.0248,0.2915,10374.99,3.75,17
55,0.004,0.002,1.8,0.007,193,0.2746,1.0761,0.2996,11220.9,12.21,26
55,0.004,0.002,2.0,0.003,193,0.2435,0.9714,0.224,9584.27,-4.16,14
55,0.004,0.002,2.0,0.005,193,0.2539,1.0248,0.2915,10374.99,3.75,17
55,0.004,0.002,2.0,0.007,193,0.2746,1.0761,0.2996,11220.9,12.21,26
55,0.004,0.0025,1.3,0.003,174,0.2299,0.9075,0.2907,8791.77,-12.08,21
55,0.004,0.0025,1.3,0.005,174,0.2414,0.964,0.3048,9517.1,-4.83,28
55,0.004,0.0025,1.3,0.007,174,0.2644,1.0208,0.3128,10293.07,2.93,24
55,0.004,0.0025,1.5,0.003,174,0.2299,0.9075,0.2907,8791.77,-12.08,21
55,0.004,0.0025,1.5,0.005,174,0.2414,0.964,0.3048,9517.1,-4.83,28
55,0.004,0.0025,1.5,0.007,174,0.2644,1.0208,0.3128,10293.07,2.93,24
55,0.004,0.0025,1.8,0.003,174,0.2299,0.9075,0.2907,8791.77,-12.08,21
55,0.004,0.0025,1.8,0.005,174,0.2414,0.964,0.3048,9517.1,-4.83,28
55,0.004,0.0025,1.8,0.007,174,0.2644,1.0208,0.3128,10293.07,2.93,24
55,0.004,0.0025,2.0,0.003,174,0.2299,0.9075,0.2907,8791.77,-12.08,21
55,0.004,0.0025,2.0,0.005,174,0.2414,0.964,0.3048,9517.1,-4.83,28
55,0.004,0.0025,2.0,0.007,174,0.2644,1.0208,0.3128,10293.07,2.93,24
55,0.004,0.003,1.3,0.003,167,0.2335,0.9258,0.2827,9066.25,-9.34,20
55,0.004,0.003,1.3,0.005,167,0.2455,0.9856,0.2907,9814.23,-1.86,27
55,0.004,0.003,1.3,0.007,167,0.2635,1.0153,0.2988,10202.21,2.02,23
